SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
141,Lucas Esteves,br BRA,DF,GrÃªmio,25-015,2000,3.7,12,3.27,10,1,1,0,0,0,2,0.55,1,0,1,0,0,0,
142,Lucas Evangelista,br BRA,MF,Palmeiras,30-064,1995,3.9,9,2.31,9,0,0,0,0,0,1,0.26,1,0,0,0,0,0,
143,Ã‰verson,br BRA,GK,AtlÃ©tico Mineiro,34-352,1990,12,3,0.25,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
144,Evertton,br BRA,MF,Flamengo,22-131,2003,3.6,2,0.56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
145,Ewerton,br BRA,DF,Juventude,24-241,2000,9.8,18,1.84,15,1,1,0,1,0,1,0.1,1,0,0,0,0,0,
146,Fabinho,br BRA,MF,RB Bragantino,23-091,2002,2.3,6,2.58,6,0,0,0,0,0,1,0.43,1,0,0,0,0,0,
147,FÃ¡bio,br BRA,GK,Fluminense,44-282,1980,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
148,FabrÃ­cio,br BRA,FW,MF,Mirassol,28-108,1997,3.3,10,2.99,8,0,0,1,1,0,2,0.6,2,0,0,0,0,0
149,FabrÃ­cio,br BRA,FW,MF,VitÃ³ria,24-274,2000,2.5,11,4.46,4,0,0,3,2,2,2,0.81,2,0,0,0,0,0
150,Fagner,br BRA,DF,Cruzeiro,36-028,1989,5.4,16,2.94,8,4,2,1,1,0,0,0,0,0,0,0,0,0,
151,Marcos Felipe,br BRA,GK,Bahia,29-087,1996,8.8,2,0.23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
152,Matheus Fernandes,br BRA,MF,RB Bragantino,27-009,1998,3.8,7,1.84,6,0,0,1,0,0,0,0,0,0,0,0,0,0,
